biogas_mass,h2_production
31.1811812,1.68052725
31.2062062,1.68189115
31.2312312,1.68325504
31.2562563,1.68461892
31.2812813,1.6859828
31.3063063,1.68734666
31.3313313,1.68871052
31.3563564,1.69007436
31.3813814,1.6914382
31.4064064,1.69280203
31.4314314,1.69416586
31.4564565,1.69552967
31.4814815,1.69689347
31.5065065,1.69825727
31.5315315,1.69962106
31.5565566,1.70098484
31.5815816,1.70234861
31.6066066,1.70371237
31.6316316,1.70507612
31.6566567,1.70643987
31.6816817,1.70780361
31.7067067,1.70916734
31.7317317,1.71053106
31.7567568,1.71189477
31.7817818,1.71325847
31.8068068,1.71462217
31.8318318,1.71598585
31.8568569,1.71734953
31.8818819,1.7187132
31.9069069,1.72007687
31.9319319,1.72144052
31.956957,1.72280416
31.981982,1.7241678
32.007007,1.72553143
32.032032,1.72689505
32.0570571,1.72825866
32.0820821,1.72962227
32.1071071,1.73098586
32.1321321,1.73234945
32.1571572,1.73371303
32.1821822,1.7350766
32.2072072,1.73644016
32.2322322,1.73780372
32.2572573,1.73916726
32.2822823,1.7405308
32.3073073,1.74189433
32.3323323,1.74325785
32.3573574,1.74462137
32.3823824,1.74598487
32.4074074,1.74734837
32.4324324,1.74871186
32.4574575,1.75007534
32.4824825,1.75143881
32.5075075,1.75280228
32.5325325,1.75416574
32.5575576,1.75552918
32.5825826,1.75689263
32.6076076,1.75825606
32.6326326,1.75961948
32.6576577,1.7609829
32.6826827,1.76234631
32.7077077,1.76370971
32.7327327,1.7650731
32.7577578,1.76643649
32.7827828,1.76779986
32.8078078,1.76916323
32.8328328,1.77052659
32.8578579,1.77188995
32.8828829,1.77325329
32.9079079,1.77461663
32.9329329,1.77597996
32.957958,1.77734328
32.982983,1.77870659
33.008008,1.7800699
33.033033,1.78143319
33.0580581,1.78279648
33.0830831,1.78415977
33.1081081,1.78552304
33.1331331,1.7868863
33.1581582,1.78824956
33.1831832,1.78961281
33.2082082,1.79097606
33.2332332,1.79233929
33.2582583,1.79370252
33.2832833,1.79506574
33.3083083,1.79642895
33.3333333,1.79779215
33.3583584,1.79915535
33.3833834,1.80051854
33.4084084,1.80188172
33.4334334,1.80324489
33.4584585,1.80460805
33.4834835,1.80597121
33.5085085,1.80733436
33.5335335,1.8086975
33.5585586,1.81006064
33.5835836,1.81142376
33.6086086,1.81278688
33.6336336,1.81414999
33.6586587,1.8155131
33.6836837,1.81687619
33.7087087,1.81823928
33.7337337,1.81960236
33.7587588,1.82096543
33.7837838,1.8223285
33.8088088,1.82369156
33.8338338,1.82505461
33.8588589,1.82641765
33.8838839,1.82778068
33.9089089,1.82914371
33.9339339,1.83050673
33.958959,1.83186974
33.983984,1.83323275
34.009009,1.83459574
34.034034,1.83595873
34.0590591,1.83732172
34.0840841,1.83868469
34.1091091,1.84004766
34.1341341,1.84141062
34.1591592,1.84277357
34.1841842,1.84413652
34.2092092,1.84549945
34.2342342,1.84686238
34.2592593,1.84822531
34.2842843,1.84958822
34.3093093,1.85095113
34.3343343,1.85231403
34.3593594,1.85367692
34.3843844,1.85503981
34.4094094,1.85640268
34.4344344,1.85776555
34.4594595,1.85912842
34.4844845,1.86049127
34.5095095,1.86185412
34.5345345,1.86321696
34.5595596,1.8645798
34.5845846,1.86594262
34.6096096,1.86730544
34.6346346,1.86866825
34.6596597,1.87003106
34.6846847,1.87139386
34.7097097,1.87275665
34.7347347,1.87411943
34.7597598,1.8754822
34.7847848,1.87684497
34.8098098,1.87820773
34.8348348,1.87957049
34.8598599,1.88093323
34.8848849,1.88229597
34.9099099,1.88365871
34.9349349,1.88502143
34.95996,1.88638415
34.984985,1.88774686
35.01001,1.88910956
35.035035,1.89047226
35.0600601,1.89183495
35.0850851,1.89319763
35.1101101,1.8945603
35.1351351,1.89592297
35.1601602,1.89728563
35.1851852,1.89864828
35.2102102,1.90001093
35.2352352,1.90137357
35.2602603,1.9027362
35.2852853,1.90409883
35.3103103,1.90546144
35.3353353,1.90682405
35.3603604,1.90818666
35.3853854,1.90954925
35.4104104,1.91091184
35.4354354,1.91227443
35.4604605,1.913637
35.4854855,1.91499957
35.5105105,1.91636213
35.5355355,1.91772469
35.5605606,1.91908723
35.5855856,1.92044977
35.6106106,1.92181231
35.6356356,1.92317483
35.6606607,1.92453735
35.6856857,1.92589986
35.7107107,1.92726237
35.7357357,1.92862487
35.7607608,1.92998736
35.7857858,1.93134984
35.8108108,1.93271232
35.8358358,1.93407479
35.8608609,1.93543726
35.8858859,1.93679971
35.9109109,1.93816216
35.9359359,1.93952461
35.960961,1.94088704
35.985986,1.94224947
36.011011,1.9436119
36.036036,1.94497431
36.0610611,1.94633672
36.0860861,1.94769912
36.1111111,1.94906152
36.1361361,1.95042391
36.1611612,1.95178629
36.1861862,1.95314866
36.2112112,1.95451103
36.2362362,1.95587339
36.2612613,1.95723575
36.2862863,1.95859809
36.3113113,1.95996043
36.3363363,1.96132277
36.3613614,1.9626851
36.3863864,1.96404742
36.4114114,1.96540973
36.4364364,1.96677204
36.4614615,1.96813434
36.4864865,1.96949663
36.5115115,1.97085892
36.5365365,1.9722212
36.5615616,1.97358347
36.5865866,1.97494574
36.6116116,1.976308
36.6366366,1.97767025
36.6616617,1.9790325
36.6866867,1.98039474
36.7117117,1.98175697
36.7367367,1.9831192
36.7617618,1.98448142
36.7867868,1.98584363
36.8118118,1.98720584
36.8368368,1.98856804
36.8618619,1.98993024
36.8868869,1.99129242
36.9119119,1.9926546
36.9369369,1.99401678
36.961962,1.99537894
36.986987,1.99674111
37.012012,1.99810326
37.037037,1.99946541
37.0620621,2.00082755
37.0870871,2.00218968
37.1121121,2.00355181
37.1371371,2.00491393
37.1621622,2.00627605
37.1871872,2.00763816
37.2122122,2.00900026
37.2372372,2.01036236
37.2622623,2.01172444
37.2872873,2.01308653
37.3123123,2.0144486
37.3373373,2.01581067
37.3623624,2.01717274
37.3873874,2.01853479
37.4124124,2.01989684
37.4374374,2.02125889
37.4624625,2.02262092
37.4874875,2.02398296
37.5125125,2.02534498
37.5375375,2.026707
37.5625626,2.02806901
37.5875876,2.02943102
37.6126126,2.03079302
37.6376376,2.03215501
37.6626627,2.03351699
37.6876877,2.03487897
37.7127127,2.03624095
37.7377377,2.03760291
37.7627628,2.03896488
37.7877878,2.04032683
37.8128128,2.04168878
37.8378378,2.04305072
37.8628629,2.04441266
37.8878879,2.04577459
37.9129129,2.04713651
37.9379379,2.04849842
37.962963,2.04986034
37.987988,2.05122224
38.013013,2.05258414
38.038038,2.05394603
38.0630631,2.05530791
38.0880881,2.05666979
38.1131131,2.05803167
38.1381381,2.05939353
38.1631632,2.06075539
38.1881882,2.06211725
38.2132132,2.06347909
38.2382382,2.06484094
38.2632633,2.06620277
38.2882883,2.0675646
38.3133133,2.06892642
38.3383383,2.07028824
38.3633634,2.07165005
38.3883884,2.07301186
38.4134134,2.07437365
38.4384384,2.07573545
38.4634635,2.07709723
38.4884885,2.07845901
38.51,2.07962959
38.5135135,2.07982079
38.5385385,2.08118255
38.5635636,2.08254431
38.5885886,2.08390607
38.6136136,2.08526782
38.6386386,2.08662956
38.6636637,2.0879913
38.6886887,2.08935303
38.7137137,2.09071475
38.7387387,2.09207647
38.7637638,2.09343819
38.7887888,2.09479989
38.8138138,2.09616159
38.8388388,2.09752329
38.8638639,2.09888498
38.8888889,2.10024666
38.9139139,2.10160833
38.9389389,2.10297
38.963964,2.10433167
38.988989,2.10569333
39.014014,2.10705498
39.039039,2.10841663
39.0640641,2.10977827
39.0890891,2.1111399
39.1141141,2.11250153
39.1391391,2.11386315
39.1641642,2.11522477
39.1891892,2.11658638
39.2142142,2.11794798
39.2392392,2.11930958
39.2642643,2.12067117
39.2892893,2.12203276
39.3143143,2.12339434
39.3393393,2.12475591
39.3643644,2.12611748
39.3893894,2.12747905
39.4144144,2.1288406
39.4394394,2.13020215
39.4644645,2.1315637
39.4894895,2.13292524
39.5145145,2.13428677
39.5395395,2.1356483
39.5645646,2.13700982
39.5895896,2.13837134
39.6146146,2.13973285
39.6396396,2.14109435
39.6646647,2.14245585
39.6896897,2.14381734
39.7147147,2.14517883
39.7397397,2.14654031
39.7647648,2.14790178
39.7897898,2.14926325
39.8148148,2.15062472
39.8398398,2.15198617
39.8648649,2.15334762
39.8898899,2.15470907
39.9149149,2.15607051
39.9399399,2.15743195
39.964965,2.15879337
39.98999,2.1601548
40.015015,2.16151621
40.04004,2.16287762
40.0650651,2.16423903
40.0900901,2.16560043
40.1151151,2.16696182
40.1401401,2.16832321
40.1651652,2.16968459
40.1901902,2.17104597
40.2152152,2.17240734
40.2402402,2.17376871
40.2652653,2.17513007
40.2902903,2.17649142
40.3153153,2.17785277
40.3403403,2.17921411
40.3653654,2.18057545
40.3903904,2.18193678
40.4154154,2.18329811
40.4404404,2.18465943
40.4654655,2.18602074
40.4904905,2.18738205
40.5155155,2.18874335
40.5405405,2.19010465
40.5655656,2.19146594
40.5905906,2.19282723
40.6156156,2.19418851
40.6406406,2.19554978
40.6656657,2.19691105
40.6906907,2.19827232
40.7157157,2.19963358
40.7407407,2.20099483
40.7657658,2.20235608
40.7907908,2.20371732
40.8158158,2.20507855
40.8408408,2.20643978
40.8658659,2.20780101
40.8908909,2.20916223
40.9159159,2.21052344
40.9409409,2.21188465
40.965966,2.21324585
40.990991,2.21460705
41.016016,2.21596824
41.041041,2.21732943
41.0660661,2.21869061
41.0910911,2.22005178
41.1161161,2.22141295
41.1411411,2.22277411
41.1661662,2.22413527
41.1911912,2.22549643
41.2162162,2.22685757
41.2412412,2.22821872
41.2662663,2.22957985
41.2912913,2.23094098
41.3163163,2.23230211
41.3413413,2.23366323
41.3663664,2.23502434
41.3913914,2.23638545
41.4164164,2.23774656
41.4414414,2.23910766
41.4664665,2.24046875
41.4914915,2.24182984
41.5165165,2.24319092
41.5415415,2.244552
41.5665666,2.24591307
41.5915916,2.24727413
41.6166166,2.24863519
41.6416416,2.24999625
41.6666667,2.2513573
41.6916917,2.25271834
41.7167167,2.25407938
41.7417417,2.25544042
41.7667668,2.25680145
41.7917918,2.25816247
41.8168168,2.25952349
41.8418418,2.2608845
41.8668669,2.26224551
